Lugar,Tempo,latitude,longitude
Porto - São Bento,04:35,41.1454906,-8.6095146
Porto - Campanhã,04:40,41.1491917,-8.5847098
porto - Campanhá,04:50,41.1491917,-8.5847098
General Torres,04:52,41.1331881,-8.6086786
Vila Nova de Gaia - Devesas,04:54,41.1297437,-8.620266
Coimbrões,04:67,41.124353,-8.6339639
Madalena,05:00,38.5363166,-28.5243488
Valadares,05:03,41.09898295,-8.631912499412149
Francelos,05:06,41.0815672,-8.6474807
Miramar,05:09,41.0671646,-8.6498612
Aguda,05:11,39.9071926,-8.3316532
Granja,05:15,40.7485317,-7.2053673
Espinho,05:18,41.0083643,-8.6394111
Silvalde,05:21,40.9903511,-8.6407154
Paramos,05:24,40.9759416,-8.6385737
Esmoriz,05:27,40.9602526,-8.6228198
Cortegaça,05:30,40.9416701,-8.6304376
Carvalheira-Maceda,05:37,40.9251123,-8.6261723
Ovar,05:41,40.8456684,-8.64847761987809
Válega,05:48,40.834947,-8.5793345
Avanca,05:50 ,40.8077237,-8.5848776
Estarreja,05:52,40.7523494,-8.5703455
Salreu,05:54,40.7288612,-8.5648729
Canelas,05:57,41.0805427,-8.6006594
Aveiro,06:00,40.640496,-8.6537841
